Time,EnergyUsage,SetPoint,Fan,IsRunning
2:30 PM,200,70,1,FALSE
2:45 PM,250,71,2,FALSE
3:00 PM,340,70,0,FALSE
3:15 PM,360,69,0,FALSE
3:30 PM,360,69,2,FALSE
3:45 PM,280,68,1,TRUE
4:00 PM,200,68,0,TRUE
4:15 PM,200,68,2,TRUE
4:30 PM,200,68,1,TRUE
4:45 PM,220,69,1,TRUE
5:00 PM,220,69,1,TRUE
5:15 PM,220,69,0,TRUE
5:30 PM,200,68,0,TRUE
5:45 PM,200,68,1,TRUE
6:00 PM,200,69,1,TRUE
6:15 PM,220,70,2,TRUE
6:30 PM,220,70,0,TRUE
6:45 PM,200,71,0,TRUE
7:00 PM,190,72,1,FALSE
7:15 PM,180,72,0,FALSE
7:30 PM,180,71,1,FALSE
7:45 PM,170,73,0,FALSE
